article_id,num_unique_kw_per_art,num_keywords,month,year,collection,partisanship
64d8e9b0516b265872f7c286,2,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c3a3,2,9,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c3ec,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c3ef,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c620,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c63a,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c63c,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c64f,2,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c653,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c656,2,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c734,2,3,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c832,2,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c862,1,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7c9b6,4,7,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7cb61,1,4,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7ccb2,5,19,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7ce5b,3,6,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7ceb1,3,6,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7cf73,3,3,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7cfb9,1,4,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7cfeb,1,1,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7d0ab,1,3,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7d0c1,2,2,1,2016,CL19,CenterLeft
64d8e9b0516b265872f7d31d,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d57c,1,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d5ee,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d654,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d658,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d65c,1,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d65d,1,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d6a2,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d723,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7d9c3,6,19,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7db13,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7db37,2,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7db69,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7dbc1,2,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7dbfe,1,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7dc4e,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7dd19,2,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7de29,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7de90,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7df61,1,5,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e2b6,1,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e3d3,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e3db,2,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e406,3,11,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e4a3,3,5,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e522,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e901,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e973,5,10,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7e97b,5,10,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ea0f,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7eaba,2,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7eaca,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ebe4,3,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ec8f,4,6,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ed42,5,10,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7edca,2,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ee1e,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7ee3c,2,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f0d5,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f12a,3,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f139,3,3,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f268,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f341,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f366,2,4,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f37e,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f380,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f386,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f391,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f3bb,3,4,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f3dc,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f49f,1,1,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f4a3,1,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f4c0,1,2,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f50a,3,4,1,2016,CL19,CenterLeft
64d8e9b1516b265872f7f582,1,1,1,2016,CL19,CenterLeft
