article_id,num_unique_kw_per_art,num_keywords,month,year,collection,partisanship
64d8e9ab516b265872f727af,1,1,2,2016,CE19,Center
64d8e9ac516b265872f73562,4,4,2,2016,CE19,Center
64d8e9ac516b265872f73772,4,4,2,2016,CE19,Center
64d8e9ac516b265872f737b0,2,2,2,2016,CE19,Center
64d8e9ac516b265872f73c0e,4,4,2,2016,CE19,Center
64d8e9ac516b265872f73ce6,4,4,2,2016,CE19,Center
64d8e9ac516b265872f74449,4,4,2,2016,CE19,Center
64d8e9ac516b265872f74bdf,4,4,2,2016,CE19,Center
64d8e9ac516b265872f74f27,1,2,2,2016,CE19,Center
64d8e9ad516b265872f75caa,4,4,2,2016,CE19,Center
64d8e9ad516b265872f75d1c,4,4,2,2016,CE19,Center
64d8e9ad516b265872f763c0,4,4,2,2016,CE19,Center
64d8e9ad516b265872f76865,2,3,2,2016,CE19,Center
64d8e9ad516b265872f76aac,2,5,2,2016,CE19,Center
64d8e9ad516b265872f76d5b,1,1,2,2016,CE19,Center
64d8e9ad516b265872f7720e,1,1,2,2016,CE19,Center
64d8e9ae516b265872f77e4a,4,4,2,2016,CE19,Center
64d8e9ae516b265872f78343,1,1,2,2016,CE19,Center
64d8e9ae516b265872f785db,4,4,2,2016,CE19,Center
64d8e9ae516b265872f78872,4,4,2,2016,CE19,Center
64d8e9ae516b265872f78d2f,4,4,2,2016,CE19,Center
64d8e9ae516b265872f7902c,1,2,2,2016,CE19,Center
64d8e9af516b265872f796a2,1,1,2,2016,CE19,Center
64d8e9af516b265872f7972f,1,1,2,2016,CE19,Center
64d8e9af516b265872f799bc,4,4,2,2016,CE19,Center
64d8e9af516b265872f7a036,4,4,2,2016,CE19,Center
64d8e9af516b265872f7a3de,4,4,2,2016,CE19,Center
64d8e9af516b265872f7a7d9,4,4,2,2016,CE19,Center
64d8e9af516b265872f7ab75,4,4,2,2016,CE19,Center
64d8e9af516b265872f7ac8e,4,4,2,2016,CE19,Center
64d8e9af516b265872f7af07,4,4,2,2016,CE19,Center
64d8ea78516b265872116501,2,3,2,2016,CR19,CenterRight
64d8ea79516b2658721174ee,1,4,2,2016,CR19,CenterRight
