displacement,category,partisanship,timeframe,starttime,correlation,pvalue
1,Islamophobia,Center,3,18,1.0,0.0
4,Islamophobia,Right,3,18,1.0,0.0
5,Immigration,FarRight,3,19,0.8660254037844386,0.33333333333333337
4,Immigration,Left,3,20,1.0,0.0
1,Immigration,CenterLeft,3,20,1.0,0.0
2,Immigration,Center,3,20,1.0,0.0
4,Immigration,FarRight,3,20,0.8660254037844387,0.3333333333333331
5,Immigration,FarRight,3,20,1.0,0.0
1,Immigration,FarLeft,3,22,1.0,0.0
3,Immigration,FarLeft,3,22,0.8660254037844387,0.3333333333333331
5,Islamophobia,FarLeft,3,22,1.0,0.0
1,Islamophobia,Left,3,22,1.0,0.0
1,Islamophobia,Center,3,22,1.0,0.0
1,Islamophobia,CenterRight,3,22,1.0,0.0
4,Islamophobia,FarRight,3,22,1.0,0.0
4,Anti-semitism,FarLeft,3,22,1.0,0.0
1,Anti-semitism,Left,3,22,1.0,0.0
1,Anti-semitism,Center,3,22,1.0,0.0
5,Anti-semitism,FarRight,3,22,1.0,0.0
1,Immigration,FarLeft,3,23,0.8660254037844387,0.3333333333333331
3,Immigration,FarLeft,3,23,0.9999999999999998,1.3415758552508148e-08
1,Islamophobia,Left,3,23,1.0,0.0
1,Islamophobia,Center,3,23,1.0,0.0
1,Islamophobia,CenterRight,3,23,1.0,0.0
4,Islamophobia,FarRight,3,23,1.0,0.0
1,Anti-semitism,Left,3,23,1.0,0.0
1,Anti-semitism,Center,3,23,1.0,0.0
5,Anti-semitism,FarRight,3,23,1.0,0.0
3,Immigration,FarLeft,3,24,0.8660254037844386,0.33333333333333337
1,Immigration,FarRight,3,24,0.8660254037844387,0.3333333333333331
1,Islamophobia,Left,3,24,1.0,0.0
1,Islamophobia,Center,3,24,1.0,0.0
1,Islamophobia,CenterRight,3,24,1.0,0.0
4,Islamophobia,FarRight,3,24,1.0,0.0
5,Anti-semitism,FarLeft,3,24,1.0,0.0
1,Anti-semitism,Left,3,24,1.0,0.0
1,Anti-semitism,Center,3,24,1.0,0.0
5,Anti-semitism,FarRight,3,24,1.0,0.0
2,Immigration,FarLeft,3,25,1.0,0.0
1,Islamophobia,FarLeft,3,26,1.0,0.0
2,Islamophobia,FarLeft,3,26,0.8660254037844387,0.3333333333333331
4,Islamophobia,Left,3,26,1.0,0.0
4,Islamophobia,Right,3,26,1.0,0.0
2,Islamophobia,FarLeft,3,27,1.0,0.0
4,Islamophobia,Left,3,27,1.0,0.0
4,Islamophobia,Right,3,27,1.0,0.0
4,Anti-semitism,FarLeft,3,27,1.0,0.0
2,Islamophobia,FarLeft,3,28,0.8660254037844387,0.3333333333333331
3,Islamophobia,FarLeft,3,28,1.0,0.0
4,Islamophobia,Left,3,28,1.0,0.0
4,Islamophobia,Right,3,28,1.0,0.0
4,Anti-semitism,FarLeft,3,28,1.0,0.0
2,Immigration,Left,3,29,1.0,0.0
5,Immigration,CenterLeft,3,29,1.0,0.0
3,Immigration,Center,3,29,1.0,0.0
1,Immigration,Right,3,29,1.0,0.0
4,Immigration,Right,3,29,1.0,0.0
4,Immigration,FarRight,3,29,1.0,0.0
4,Anti-semitism,FarLeft,3,29,1.0,0.0
2,Immigration,FarLeft,3,30,0.8660254037844387,0.3333333333333331
2,Immigration,Left,3,30,1.0,0.0
5,Immigration,CenterLeft,3,30,1.0,0.0
1,Immigration,Right,3,30,1.0,0.0
4,Immigration,Right,3,30,1.0,0.0
4,Immigration,FarRight,3,30,0.8660254037844387,0.3333333333333331
2,Immigration,FarLeft,3,31,0.8660254037844387,0.3333333333333331
3,Immigration,FarLeft,3,31,1.0,0.0
2,Immigration,Left,3,31,1.0,0.0
5,Immigration,CenterLeft,3,31,1.0,0.0
1,Immigration,Right,3,31,1.0,0.0
4,Immigration,Right,3,31,1.0,0.0
4,Immigration,FarRight,3,31,1.0,0.0
4,Immigration,FarLeft,3,33,1.0,0.0
1,Immigration,CenterLeft,3,33,1.0,0.0
3,Immigration,CenterRight,3,33,1.0,0.0
3,Immigration,Right,3,33,1.0,0.0
4,Islamophobia,FarLeft,3,33,1.0,0.0
3,Islamophobia,Right,3,33,1.0,0.0
5,Islamophobia,FarRight,3,33,1.0,0.0
4,Anti-semitism,FarLeft,3,33,1.0,0.0
2,Anti-semitism,CenterRight,3,33,1.0,0.0
3,Anti-semitism,Right,3,33,1.0,0.0
4,Anti-semitism,FarRight,3,33,1.0,0.0
4,Immigration,FarLeft,3,34,0.8660254037844387,0.3333333333333331
1,Immigration,CenterLeft,3,34,0.8660254037844387,0.3333333333333331
2,Immigration,Center,3,34,0.8660254037844386,0.33333333333333337
3,Immigration,CenterRight,3,34,0.8660254037844387,0.3333333333333331
3,Immigration,Right,3,34,0.8660254037844387,0.3333333333333331
5,Immigration,FarRight,3,34,0.8660254037844386,0.33333333333333337
4,Islamophobia,FarLeft,3,34,0.8660254037844387,0.3333333333333331
3,Islamophobia,Right,3,34,0.8660254037844387,0.3333333333333331
5,Islamophobia,FarRight,3,34,0.8660254037844387,0.3333333333333331
4,Anti-semitism,FarLeft,3,34,1.0,0.0
2,Anti-semitism,CenterRight,3,34,1.0,0.0
3,Anti-semitism,Right,3,34,1.0,0.0
4,Immigration,FarLeft,3,35,0.9819805060619659,0.12103771832367664
1,Immigration,CenterLeft,3,35,1.0,0.0
3,Immigration,Center,3,35,1.0,0.0
3,Immigration,CenterRight,3,35,1.0,0.0
3,Immigration,Right,3,35,1.0,0.0
2,Anti-semitism,CenterRight,3,35,1.0,0.0
3,Anti-semitism,Right,3,35,1.0,0.0
2,Islamophobia,FarLeft,3,36,0.8660254037844387,0.3333333333333331
4,Islamophobia,CenterLeft,3,36,0.8660254037844387,0.3333333333333331
1,Islamophobia,Right,3,36,0.8660254037844387,0.3333333333333331
5,Islamophobia,Right,3,36,0.8660254037844386,0.33333333333333337
3,Islamophobia,FarRight,3,36,0.8660254037844387,0.3333333333333331
4,Immigration,FarRight,3,37,1.0,0.0
2,Islamophobia,FarLeft,3,37,1.0,0.0
4,Islamophobia,CenterLeft,3,37,1.0,0.0
1,Islamophobia,Right,3,37,1.0,0.0
5,Islamophobia,Right,3,37,0.8660254037844387,0.3333333333333331
3,Islamophobia,FarRight,3,37,1.0,0.0
3,Anti-semitism,Left,3,37,1.0,0.0
4,Anti-semitism,Center,3,37,1.0,0.0
5,Anti-semitism,CenterRight,3,37,1.0,0.0
2,Anti-semitism,Right,3,37,1.0,0.0
5,Anti-semitism,FarRight,3,37,1.0,0.0
4,Immigration,FarRight,3,38,0.8660254037844386,0.33333333333333337
1,Islamophobia,CenterLeft,3,38,1.0,0.0
1,Islamophobia,Right,3,38,1.0,0.0
2,Islamophobia,Right,3,38,0.8660254037844387,0.3333333333333331
4,Islamophobia,FarRight,3,38,1.0,0.0
2,Anti-semitism,Right,3,38,0.8660254037844386,0.33333333333333337
5,Anti-semitism,FarRight,3,38,0.8660254037844386,0.33333333333333337
4,Immigration,CenterRight,3,39,1.0,0.0
4,Immigration,FarRight,3,39,0.8660254037844386,0.33333333333333337
1,Islamophobia,CenterLeft,3,39,1.0,0.0
2,Islamophobia,Right,3,39,1.0,0.0
4,Islamophobia,FarRight,3,39,1.0,0.0
1,Islamophobia,CenterLeft,3,40,1.0,0.0
2,Islamophobia,Right,3,40,0.8660254037844387,0.3333333333333331
3,Islamophobia,Right,3,40,1.0,0.0
4,Islamophobia,FarRight,3,40,0.8660254037844387,0.3333333333333331
2,Anti-semitism,Right,3,40,1.0,0.0
5,Anti-semitism,FarRight,3,40,1.0,0.0
3,Immigration,CenterRight,3,41,1.0,0.0
4,Immigration,FarRight,3,41,0.8660254037844386,0.33333333333333337
1,Anti-semitism,Left,3,41,1.0,0.0
2,Anti-semitism,Center,3,41,1.0,0.0
3,Anti-semitism,CenterRight,3,41,1.0,0.0
2,Anti-semitism,Right,3,41,1.0,0.0
3,Anti-semitism,FarRight,3,41,1.0,0.0
5,Anti-semitism,FarRight,3,41,1.0,0.0
4,Immigration,FarLeft,3,42,0.8660254037844387,0.3333333333333331
3,Immigration,CenterLeft,3,42,0.8660254037844387,0.3333333333333331
4,Immigration,Center,3,42,0.8660254037844387,0.3333333333333331
3,Immigration,CenterRight,3,42,0.8660254037844386,0.33333333333333337
4,Immigration,Right,3,42,0.8660254037844387,0.3333333333333331
2,Immigration,FarRight,3,42,0.8660254037844386,0.33333333333333337
5,Immigration,FarRight,3,42,0.8660254037844387,0.3333333333333331
4,Islamophobia,FarLeft,3,42,1.0,0.0
3,Islamophobia,Right,3,42,1.0,0.0
5,Islamophobia,Right,3,42,1.0,0.0
5,Anti-semitism,FarLeft,3,42,1.0,0.0
